"";"title";"author";"journal";"number";"cites";"year";"cid";"pubid"
"80";"Metabolomic study of volatile compounds in the pigmented fruit from Mexico Crataegus genotypes";"MD Pérez-Lainez, T Corona-Torres, M del Rosario García-Mateos, ...";"Journal of Applied Botany and Food Quality";"92, 15-23";3;2019;"4429204582652052675";"eMMeJKvmdy0C"
"81";"Caracterización química en grano verde y tostado de una nueva variedad de Coffea arabica l. cosechado en 2016 en Huatusco, Veracruz México";"O González-Ríos, ML Suárez-Quiroz, R Winkler, AK Ramírez-Hernández";"Revista Colombiana de Investigaciones Agroindustriales";"5 (02), 86-97";3;2018;"8414043521976753722";"ZuybSZzF8UAC"
"82";"Effects of the developmental regulator BOLITA on the plant metabolome";"HG Lazcano-Ramírez, R Gamboa-Becerra, IJ García-López, RAC Montes, ...";"Genes";"12 (7), 995";2;2021;"11024876652313980922";"BUYA1_V_uYcC"
"83";"MeteoMex: Open infrastructure for networked environmental monitoring and agriculture 4.0";"R Winkler";"PeerJ Computer Science";"7 (e343), 1-23";2;2021;"10410779182168759505";"35r97b3x0nAC"
"84";"Distinct gene expression and secondary metabolite profiles for suboptimal mycorrhizal colonization in wild-type and the jasmonic acid deficient spr2 tomato mutant";"K Casarrubias-Castillo, JM Montero-Vargas, N Dabdoub-González, ...";"PeerJ Preprints";"";2;2019;"13287834866946382025";"uc_IGeMz5qoC"
"85";"A mass spectrometry-based study shows that volatiles emitted by Arthrobacter agilis UMCV2 increase the content of brassinosteroids in Medicago truncatula in response to iron …";"I Flores-Cortez, R Winkler, A Ramírez-Ordorica, M Elizarraraz-Anaya, ...";"Molecules";"24 (16), 3011";2;2019;"13569502403319019513";"ye4kPcJQO24C"
"86";"Screening for Green Coffee with Sensorial Defects Due to Aging During Storage by MALDI-ToF Mass Fingerprinting";"JD Pazmiño-Arteaga, A Chagolla, C Gallardo-Cabrera, AF Ruiz-Márquez, ...";"Food Analytical Methods";"12 (7), 1571–1576";2;2019;"3619380607696488969";"JoZmwDi-zQgC"
"87";"Chemical characteristics of new variety of Arabica coffee L. harvested in 2016 in Huatusco, Veracruz-Mexico";"OG Ríos, MLS Quiroz, R Winkler, AK Ramírez-Hernández";"Revista Colombiana de Investigaciones Agroindustriales";"5 (2), 86-97";2;2018;"5900448920390292180";"XiVPGOgt02cC"
"88";"Peptides: The Wave of the Future Peptides: The Wave of the Future 97, 2001";"K TEICHMANN, R WINKLER, K HAMPEL, A TRUMPLER, FD BOHMER, ...";"Journal of chromatography. B, Analytical technologies in the biomedical and …";"";2;2007;"6321580108310031947";"WbkHhVStYXYC"
"89";"CHD1 controls H3. 3 incorporation in adult brain chromatin to maintain metabolic homeostasis and normal lifespan";"I Schoberleitner, I Bauer, A Huang, EN Andreyeva, J Sebald, K Pascher, ...";"Cell reports";"37 (1), 109769";1;2021;"9870357247990472862";"p__nRnzSRKYC"
"90";"ProtyQuant: Comparing label-free shotgun proteomics datasets using accumulated peptide probabilities";"R Winkler";"Journal of Proteomics";"230 (103985), 1-12";1;2021;"65874615401734479";"_Re3VWB3Y0AC"
